-3.3957536,-11.5677450,3.6011039
-3.4359343,-11.3724188,3.6783286
-3.4691699,-11.1760126,3.7556935
-3.4959632,-10.9784641,3.8332271
-3.5166466,-10.7803186,3.9118768
-3.5316052,-10.5815127,3.9911539
-3.5411763,-10.3823710,4.0713521
-3.5457132,-10.1831031,4.1525882
-3.5455692,-9.9836954,4.2343409
-3.5410863,-9.7843958,4.3169055
-3.5325950,-9.5851417,4.4001105
-3.5204295,-9.3862344,4.4837318
-3.5048796,-9.1873938,4.5681833
-3.4862583,-8.9888342,4.6532814
-3.4648785,-8.7908845,4.7389088
-3.4409563,-8.5927601,4.8259924
-3.4150648,-8.3952442,4.9140231
-3.3875118,-8.1979373,5.0029764
-3.3584655,-8.0008071,5.0938475
-3.3280242,-7.8038568,5.1856167
-3.2963681,-7.6069411,5.2783798
-3.2638932,-7.4104098,5.3724357
-3.2308801,-7.2137940,5.4666282
-3.1977061,-7.0171479,5.5609044
-3.1647798,-6.8206414,5.5120503
-3.1324195,-6.6238804,5.4266955
-3.1010470,-6.4270000,5.3089695
-3.0710752,-6.2299647,5.1947430
-3.0428816,-6.0325799,5.0825882
-3.0168667,-5.8349591,4.9741401
-2.9933687,-5.6370760,4.8687006
-2.9726102,-5.4387620,4.7651585
-2.9548224,-5.2403710,4.6649999
-2.9402355,-5.0416401,4.5662276
-2.9291312,-4.8423634,4.4686308
-2.9218447,-4.6434045,4.3714968
-2.9185564,-4.4440051,4.2734575
-2.9194611,-4.2446137,4.1738474
-2.9247029,-4.0454369,4.0692261
-2.9343788,-3.8461781,3.9613090
-2.9484675,-3.6474011,3.8437735
-2.9668524,-3.4488390,3.7177905
-2.9891825,-3.2507214,3.5845327
-3.0149213,-3.0529014,3.4346658
-3.0431668,-2.8555044,3.2774472
-3.0727364,-2.6583221,3.1062733
-3.1020851,-2.4607578,2.9244265
-3.1291483,-2.2637713,2.7361675
-3.1518362,-2.0653772,2.5338498
-3.1669038,-1.8665241,2.3294504
-3.1694257,-1.6678636,2.1232345
-3.1526185,-1.4680477,2.0018189
-3.1100858,-1.2723109,1.9182391
-3.0391713,-1.0877218,1.8740305
-2.9382051,-0.9144711,1.8496731
-2.8164335,-0.7582357,1.8046547
-2.6802243,-0.6193962,1.7969026
-2.5252468,-0.4959069,1.8190160
-2.3508321,-0.3940803,1.8517458
-2.1650092,-0.3211874,1.8879794
-1.9717155,-0.2739189,1.9600603
-1.7731999,-0.2460127,2.0594226
-1.5743903,-0.2310253,2.2128377
-1.3750089,-0.2227018,2.3910465
-1.1757463,-0.2175288,2.5816419
-0.9764014,-0.2135926,2.7738066
-0.7770215,-0.2095203,2.9590488
-0.5778500,-0.2044029,3.1374388
-0.3784932,-0.1977508,3.2975141
-0.1793719,-0.1894979,3.4520646
0.0196968,-0.1798520,3.5991973
0.2188327,-0.1693033,3.7424459
0.4178089,-0.1585750,3.8824003
0.6169223,-0.1485147,4.0146592
0.8161494,-0.1401179,4.1318168
1.0152902,-0.1344307,4.2374996
1.2147118,-0.1324224,4.3143030
1.4140691,-0.1348434,4.2954421
1.6130959,-0.1423905,4.2089782
1.8121248,-0.1557638,4.1378402
2.0104799,-0.1754789,4.0720564
2.2078745,-0.2019333,4.0112835
2.4045045,-0.2355102,3.9693957
2.5995762,-0.2763801,3.9417932
2.7928278,-0.3246736,3.9283887
2.9842770,-0.3805045,3.9151557
3.1732677,-0.4437384,3.9035081
3.3596093,-0.5143369,3.8935082
3.5430792,-0.5922351,3.8923607
3.7232975,-0.6772390,3.8999468
3.9002085,-0.7692078,3.9161690
4.0733434,-0.8676568,3.9520820
4.2428645,-0.9722770,3.9955946
4.4090160,-1.0828997,4.0461066
4.5709025,-1.1986006,4.1016990
4.7294181,-1.3195696,4.1567989
4.8843866,-1.4453435,4.2113833
5.0353266,-1.5753253,4.2562313
5.1825871,-1.7098820,4.2905354
5.3256351,-1.8487451,4.3096627
5.4643731,-1.9921005,4.3069839
5.5983775,-2.1397302,4.2973873
5.7274733,-2.2916136,4.2808411
5.8517045,-2.4479694,4.2732951
5.9703373,-2.6079220,4.2704672
6.0837468,-2.7719622,4.2734257
6.1919009,-2.9400484,4.2810716
6.2940845,-3.1108940,4.2919048
6.3905553,-3.2849643,4.3066165
6.4814178,-3.4631266,4.3208588
6.5659657,-3.6433044,4.3195380
6.6442768,-3.8259896,4.3312272
6.7172329,-4.0113537,4.4659444
6.7893065,-4.1972447,4.3820566
6.8650941,-4.3813194,4.2792413
6.9470471,-4.5627936,4.1897848
7.0357214,-4.7414939,4.1194730
7.1307212,-4.9163974,4.0624612
7.2318156,-5.0874805,4.0036797
7.3392565,-5.2551008,3.9719828
7.4536166,-5.4196378,3.9768750
7.5728128,-5.5776269,3.9870900
7.6993575,-5.7314181,3.9998084
7.8332289,-5.8813161,4.0138741
7.9705181,-6.0243717,4.0181776
8.1136776,-6.1638001,4.0465033
8.2608343,-6.2987757,4.1055588
8.4107334,-6.4302758,4.0286137
8.5616964,-6.5609754,3.9151307
8.7112520,-6.6931447,3.7987262
8.8581536,-6.8284211,3.6908899
9.0006983,-6.9673695,3.5935856
9.1392108,-7.1122042,3.5094556
9.2706162,-7.2613137,3.4313571
9.3956995,-7.4170975,3.3641057
9.5131703,-7.5794324,3.3023109
9.6209531,-7.7458602,3.2433347
9.7199206,-7.9179246,3.1850730
9.8096731,-8.0958258,3.1294038
9.8894730,-8.2768247,3.1075384
9.9604516,-8.4626903,3.1063627
10.0217138,-8.6536424,3.1074200
10.0707269,-8.8457096,3.1004635
10.1073133,-9.0417724,3.1163793
10.1308448,-9.2404320,3.1575218
10.1419706,-9.4392441,3.2550670
10.1431512,-9.6384579,3.3605944
10.1364245,-9.8380431,3.4701047
10.1235201,-10.0367044,3.5805648
10.1059033,-10.2350230,3.6915163
10.0848850,-10.4338284,3.8028313
10.0622228,-10.6307917,3.9152919
10.0395575,-10.8284596,4.0274096
10.0180606,-11.0272155,4.1391014
9.9982827,-11.2247054,4.2481892
9.9797678,-11.4250483,4.3543606
9.9628914,-11.6227769,4.2361167
9.9472571,-11.8223668,4.1173338
9.9330663,-12.0212769,3.9962812
9.9201235,-12.2206591,3.8731436
9.9082840,-12.4198677,3.7462210
9.8971971,-12.6195473,3.6126725
9.8864838,-12.8180383,3.4733804
9.8753041,-13.0185540,3.3194088
9.8630807,-13.2157435,3.1595185
9.8481469,-13.4164534,2.9825116
9.8290767,-13.6150769,2.7953714
9.8039339,-13.8103371,2.5974390
9.7690902,-14.0082513,2.3842270
9.7223831,-14.2012706,2.2003972
9.6602360,-14.3889375,2.0608676
9.5786333,-14.5706871,1.9725181
9.4753499,-14.7407741,1.9199360
9.3477361,-14.8932374,1.9042652
9.1961085,-15.0228881,1.9057448
9.0244104,-15.1245894,1.9198067
8.8387069,-15.1953124,1.9701570
8.6439791,-15.2351863,2.0196309
8.4446615,-15.2472234,2.0771799
8.2457814,-15.2370198,2.1716530
8.0480343,-15.2115932,2.3185519
7.8513860,-15.1766480,2.4917423
7.6560666,-15.1366713,2.6830896
7.4610581,-15.0944895,2.8744877
7.2663943,-15.0520616,3.0639507
7.0714110,-15.0104783,3.2439501
6.8761845,-14.9705271,3.4091964
6.6805291,-14.9327049,3.5641492
6.4843931,-14.8973365,3.7043970
6.2878870,-14.8645432,3.8363541
6.0907747,-14.8342494,3.9628290
5.8934916,-14.8063854,4.0823973
5.6959090,-14.7807176,4.1986833
5.4977861,-14.7569686,4.3127343
5.2998279,-14.7349531,4.4237507
5.1015826,-14.7143491,4.5331645
4.9029403,-14.6949014,4.6413169
4.7046731,-14.6764681,4.7465385
4.5060693,-14.6588215,4.8500878
4.3073257,-14.6418792,4.9516565
4.1087701,-14.6256256,5.0494464
3.9099557,-14.6100356,5.1453341
3.7111606,-14.5951773,5.2380123
3.5123434,-14.5811209,5.3272118
3.3133567,-14.5679483,5.4144432
3.1144257,-14.5557693,5.4975108
2.9153776,-14.5446529,5.5084852
2.7162545,-14.5346902,5.4564309
2.5171159,-14.5259785,5.3478941
2.3178966,-14.5185951,5.2345295
2.1186466,-14.5125841,5.1192309
1.9193481,-14.5079264,5.0005609
1.7200473,-14.5045241,4.8799071
1.5207063,-14.5022301,4.7544165
1.3214258,-14.5008803,4.6256420
1.1220658,-14.5003099,4.4941147
0.9228048,-14.5002270,4.3619477
0.7233622,-14.4997297,4.2306802
0.5240128,-14.4977570,4.1011744
0.3245135,-14.4932471,3.9769475
0.1254500,-14.4850781,3.8560795
-0.0736879,-14.4720383,3.7440489
-0.2723461,-14.4529674,3.6382718
-0.4693551,-14.4268851,3.5373704
-0.6664821,-14.3924336,3.4490904
-0.8611532,-14.3490372,3.3671002
-1.0523748,-14.2961917,3.2918607
-1.2422933,-14.2325325,3.2269890
-1.4274333,-14.1586549,3.1658088
-1.6073296,-14.0746278,3.1072140
-1.7825638,-13.9797579,3.0467661
-1.9509702,-13.8741334,3.0283182
-2.1123257,-13.7577961,3.0217856
-2.2666716,-13.6308868,3.0169029
-2.4118916,-13.4951819,3.0137192
-2.5483780,-13.3502332,3.0081088
-2.6757398,-13.1962282,3.0035363
-2.7925689,-13.0348974,3.0086528
-2.8989421,-12.8665076,3.0541417
-2.9954770,-12.6916478,3.1198341
-3.0824063,-12.5123803,3.2006063
-3.1607665,-12.3290492,3.2817896
-3.2310450,-12.1422958,3.3630136
-3.2934354,-11.9529881,3.4427950
-3.3483264,-11.7612196,3.4784867
-3.3957536,-11.5677450,3.6011039
